date,pm25,pm10,no2
2020/10/1,42,15,7
2020/10/2,44,12,3
2020/10/3,33,4,2
2020/10/4,12,5,7
2020/10/5,13,7,10
2020/10/6,19,4,3
2020/10/7,12,6,5
2020/10/8,20,10,14
2020/10/9,24,9,7
2020/10/10,30,5,1
2020/10/11,17,10,5
2020/10/12,39,8,3
2020/10/13,30,4,5
2020/10/14,14,6,7
2020/10/15,19,12,4
2020/10/16,46,,
2020/10/18,46,18,12
2020/10/19,53,25,7
2020/10/20,64,32,14
2020/10/21,75,30,15
2020/10/22,74,37,14
2020/10/23,92,12,6
2020/10/24,38,17,7
2020/10/25,56,12,4
2020/10/26,41,4,4
2020/10/27,16,14,14
2020/10/28,32,8,9
2020/10/29,23,4,9
2020/10/30,14,9,6
2020/10/31,25,17,9
2020/11/1,57,13,11
2020/11/2,35,22,11
2020/11/3,50,9,3
2020/11/4,28,17,5
2020/11/5,52,24,14
2020/11/6,64,27,11
2020/11/7,72,32,10
2020/11/8,89,24,12
2020/11/9,71,20,11
2020/11/10,62,18,9
2020/11/11,57,19,11
2020/11/12,56,23,10
2020/11/13,67,21,8
2020/11/14,67,13,4
2020/11/15,50,10,6
2020/11/16,36,9,10
2020/11/17,28,20,16
2020/11/18,56,19,12
2020/11/19,62,9,4
2020/11/20,28,13,9
2020/11/21,46,19,14
2020/11/22,60,22,15
2020/11/23,64,25,13
2020/11/24,76,23,8
2020/11/25,73,25,11
2020/11/26,76,27,14
2020/11/27,77,13,7
2020/11/28,51,12,4
2020/11/29,49,20,12
2020/11/30,61,28,10
2020/12/1,82,28,9
2020/12/2,83,29,12
2020/12/3,84,20,7
2020/12/4,69,26,6
2020/12/5,78,19,5
2020/12/6,63,17,6
2020/12/7,60,16,4
2020/12/8,59,16,11
2020/12/9,55,6,12
2020/12/10,23,,
2020/7/1,23,6,3
2020/7/2,15,6,2
2020/7/3,16,6,2
2020/7/4,17,7,2
2020/7/5,18,8,3
2020/7/6,18,7,2
2020/7/7,14,9,5
2020/7/8,17,11,7
2020/7/9,25,15,8
2020/7/10,31,6,1
2020/7/11,18,8,2
2020/7/12,23,7,4
2020/7/13,16,11,7
2020/7/14,24,11,8
2020/7/15,26,6,2
2020/7/16,21,6,1
2020/7/17,20,4,2
2020/7/18,16,11,1
2020/7/19,40,11,3
2020/7/20,36,16,6
2020/7/21,42,15,3
2020/7/22,47,15,5
2020/7/23,42,15,7
2020/7/24,44,8,2
2020/7/25,24,9,3
2020/7/26,25,7,3
2020/7/27,18,12,6
2020/7/28,29,10,4
2020/7/29,30,12,4
2020/7/30,25,14,4
2020/7/31,27,13,4
2020/8/1,21,12,4
2020/8/2,28,8,7
2020/8/3,33,9,3
2020/8/4,28,5,3
2020/8/5,18,13,3
2020/8/6,41,20,4
2020/8/7,54,19,4
2020/8/8,54,21,3
2020/8/9,57,24,8
2020/8/10,58,18,9
2020/8/11,48,39,8
2020/8/12,99,45,8
2020/8/13,96,12,4
2020/8/14,38,9,2
2020/8/15,31,9,3
2020/8/16,32,17,8
2020/8/17,52,6,3
2020/8/18,19,5,3
2020/8/19,15,11,10
2020/8/20,22,13,8
2020/8/21,32,11,5
2020/8/22,33,6,2
2020/8/23,17,5,4
2020/8/24,15,7,5
2020/8/25,16,14,8
2020/8/26,19,10,4
2020/8/27,19,12,8
2020/8/28,25,5,5
2020/8/29,15,10,4
2020/8/30,31,4,3
2020/8/31,10,4,2
2020/9/1,12,7,5
2020/9/2,21,7,5
2020/9/3,22,10,11
2020/9/4,28,10,7
2020/9/5,33,9,2
2020/9/6,35,11,3
2020/9/7,40,11,10
2020/9/8,32,13,11
2020/9/9,35,13,5
2020/9/10,40,15,8
2020/9/11,41,21,9
2020/9/12,55,15,6
2020/9/13,47,18,11
2020/9/14,47,23,12
2020/9/15,52,29,14
2020/9/16,57,20,5
2020/9/17,52,9,5
2020/9/18,16,13,7
2020/9/19,23,16,7
2020/9/20,31,27,12
2020/9/21,52,30,12
2020/9/22,55,18,10
2020/9/23,45,10,13
2020/9/24,25,6,7
2020/9/25,18,1,2
2020/9/26,6,3,5
2020/9/27,9,5,6
2020/9/28,16,7,4
2020/9/29,25,11,4
2020/9/30,37,13,6
2020/4/1,59,22,11
2020/4/2,59,24,8
2020/4/3,64,22,6
2020/4/4,64,19,6
2020/4/5,54,33,10
2020/4/6,68,24,6
2020/4/7,46,23,11
2020/4/8,50,26,9
2020/4/9,53,15,3
2020/4/10,36,15,4
2020/4/11,38,17,6
2020/4/12,44,12,2
2020/4/13,37,10,1
2020/4/14,31,10,4
2020/4/15,30,16,12
2020/4/16,31,20,6
2020/4/17,42,22,5
2020/4/18,55,17,3
