date,pm25,pm10,no2
2020/10/1,45,16,8
2020/10/2,48,11,2
2020/10/3,31,4,2
2020/10/4,12,6,6
2020/10/5,14,7,11
2020/10/6,19,5,6
2020/10/7,15,7,6
2020/10/8,21,9,12
2020/10/9,22,11,8
2020/10/10,33,,
2020/10/12,38,8,3
2020/10/13,31,4,5
2020/10/14,14,6,6
2020/10/15,20,12,4
2020/10/16,45,,
2020/10/18,42,18,11
2020/10/19,52,26,6
2020/10/20,62,29,13
2020/10/21,74,30,16
2020/10/22,76,38,16
2020/10/23,96,11,6
2020/10/24,32,17,7
2020/10/25,58,12,4
2020/10/26,42,5,5
2020/10/27,16,14,14
2020/10/28,33,8,10
2020/10/29,25,4,8
2020/10/30,13,9,7
2020/10/31,27,16,10
2020/11/1,56,13,13
2020/11/2,38,25,15
2020/11/3,57,9,3
2020/11/4,27,15,4
2020/11/5,48,26,13
2020/11/6,71,28,9
2020/11/7,78,29,10
2020/11/8,86,27,11
2020/11/9,78,20,8
2020/11/10,63,19,7
2020/11/11,58,19,9
2020/11/12,57,24,9
2020/11/13,68,21,7
2020/11/14,67,12,3
2020/11/15,47,12,7
2020/11/16,41,9,10
2020/11/17,30,20,14
2020/11/18,54,17,7
2020/11/19,56,8,3
2020/11/20,25,12,6
2020/11/21,45,17,16
2020/11/22,58,27,14
2020/11/23,69,34,13
2020/11/24,91,26,6
2020/11/25,75,28,12
2020/11/26,81,30,15
2020/11/27,81,15,8
2020/11/28,54,12,4
2020/11/29,48,18,10
2020/11/30,59,29,8
2020/12/1,83,30,10
2020/12/2,85,30,10
2020/12/3,84,22,6
2020/12/4,70,27,6
2020/12/5,81,20,4
2020/12/6,63,18,6
2020/12/7,59,17,3
2020/12/8,61,17,12
2020/12/9,55,7,10
2020/12/10,26,,
2020/9/14,52,20,10
2020/9/15,52,23,10
2020/9/16,56,21,8
2020/9/17,50,9,5
2020/9/18,16,12,6
2020/9/19,24,14,5
2020/9/20,31,23,8
2020/9/21,51,25,8
2020/9/22,51,18,10
2020/9/23,45,11,9
2020/9/24,24,6,6
2020/9/25,20,2,2
2020/9/26,7,3,3
2020/9/27,9,4,7
2020/9/28,15,8,5
2020/9/29,26,10,4
2020/9/30,33,14,7
2019/10/2,18,6,5
2019/10/3,22,6,9
2019/10/4,20,3,4
2019/10/5,14,12,3
2019/10/6,44,12,3
2019/10/7,56,16,10
2019/10/8,39,11,11
2019/10/9,48,16,11
2019/10/10,9,3,5
2019/10/11,21,6,10
2019/10/12,57,17,12
2019/10/13,71,24,11
2019/10/14,73,26,13
2019/10/15,59,21,7
2019/10/16,29,8,12
2019/10/17,57,19,20
2019/10/18,61,19,12
2019/10/19,72,23,10
2019/10/20,65,20,12
2019/10/21,63,24,19
2019/10/22,78,31,18
2019/10/23,93,38,18
2019/10/24,83,35,17
2019/10/25,53,18,11
2019/10/26,86,32,20
2019/10/27,58,20,12
2019/10/28,38,10,8
2019/10/29,53,14,7
2019/7/1,45,12,8
2019/7/2,35,12,5
2019/7/3,27,12,6
2019/7/4,24,13,7
2019/7/5,29,10,5
2019/7/6,23,7,3
2019/7/7,27,10,4
2019/7/8,31,12,5
2019/7/9,26,8,4
2019/7/10,22,9,6
2019/7/11,23,7,4
2019/7/12,25,5,3
2019/7/13,21,9,2
2019/7/14,31,9,5
2019/7/15,30,12,7
2019/7/16,40,14,6
2019/7/17,41,10,9
2019/7/18,30,14,11
2019/7/19,40,13,7
2019/7/20,39,8,5
2019/7/21,29,8,6
2019/7/22,24,11,7
2019/7/23,27,15,9
2019/7/24,40,18,12
2019/7/25,36,18,12
2019/7/26,39,13,6
2019/7/27,38,11,4
2019/7/28,40,10,4
2019/7/29,38,11,3
2019/7/30,44,12,4
2019/7/31,40,10,5
2019/8/1,33,12,6
2019/8/2,32,8,3
2019/8/3,29,7,2
2019/8/4,25,9,10
2019/8/5,28,8,10
2019/8/6,30,9,7
2019/8/7,30,4,5
2019/8/8,15,9,9
2019/8/9,24,10,6
2019/8/10,34,6,3
2019/8/11,18,8,5
2019/8/12,26,6,4
2019/8/13,23,8,4
2019/8/14,23,7,5
2019/8/15,24,5,4
2019/8/16,17,7,8
2019/8/17,22,7,8
2019/8/18,25,6,5
2019/8/19,22,8,6
2019/8/20,25,5,4
2019/8/21,17,12,6
2019/8/22,46,15,9
2019/8/23,45,18,9
2019/8/24,56,11,6
2019/8/25,43,18,10
2019/8/26,55,25,8
2019/8/27,65,23,9
2019/8/28,62,20,10
2019/8/29,59,9,7
2019/8/30,32,17,9
2019/8/31,53,16,7
2019/9/1,52,8,5
2019/9/2,31,9,6
2019/9/3,31,13,12
2019/9/4,27,13,13
2019/9/5,33,9,7
2019/9/6,27,9,6
2019/9/7,34,9,4
