date,pm10,no2
2023/5/1,13,5
2023/5/2,15,4
2023/5/3,15,6
2023/5/4,18,10
2023/5/5,20,8
2023/5/6,13,8
2023/5/7,12,
2023/4/1,6,3
2023/4/2,6,2
2023/4/3,8,2
2023/4/4,9,4
2023/4/5,13,7
2023/4/6,18,5
2023/4/7,21,5
2023/4/8,10,6
2023/4/9,16,7
2023/4/10,19,13
2023/4/11,15,11
2023/4/12,10,9
2023/4/13,8,8
2023/4/14,5,7
2023/4/15,4,6
2023/4/16,7,5
2023/4/17,12,5
2023/4/18,11,6
2023/4/19,15,7
2023/4/20,16,14
2023/4/21,25,11
2023/4/22,22,8
2023/4/23,18,6
2023/4/24,8,5
2023/4/25,8,3
2023/4/26,12,12
2023/4/27,19,11
2023/4/28,21,10
2023/4/29,18,2
2023/4/30,13,7
2023/1/2,17,13
2023/1/3,20,13
2023/1/4,15,5
2023/1/5,8,11
2023/1/6,10,12
2023/1/7,11,9
2023/1/8,22,9
2023/1/9,10,4
2023/1/10,7,17
2023/1/11,18,11
2023/1/12,11,12
2023/1/13,20,6
2023/1/14,8,7
2023/1/15,10,10
2023/1/16,7,14
2023/1/17,11,14
2023/1/18,12,7
2023/1/19,15,9
2023/1/20,18,5
2023/1/21,9,6
2023/1/22,13,9
2023/1/23,19,8
2023/1/24,17,5
2023/1/25,15,7
2023/1/26,21,7
2023/1/27,18,6
2023/1/28,21,5
2023/1/29,12,10
2023/1/30,15,6
2023/1/31,11,7
2023/2/1,10,11
2023/2/2,9,6
2023/2/3,8,1
2023/2/4,5,2
2023/2/5,5,7
2023/2/6,17,9
2023/2/7,30,18
2023/2/8,32,11
2023/2/9,30,18
2023/2/10,35,11
2023/2/11,26,8
2023/2/12,18,13
2023/2/13,19,8
2023/2/14,19,13
2023/2/15,30,14
2023/2/16,39,12
2023/2/17,26,5
2023/2/18,7,3
2023/2/19,5,9
2023/2/20,9,7
2023/2/21,10,10
2023/2/22,14,11
2023/2/23,27,13
2023/2/24,31,4
2023/2/25,6,1
2023/2/26,5,3
2023/2/27,8,7
2023/2/28,22,13
2023/3/1,36,15
2023/3/2,44,14
2023/3/3,44,7
2023/3/4,28,5
2023/3/5,13,13
2023/3/6,19,10
2023/3/7,22,10
2023/3/8,22,12
2023/3/9,19,12
2023/3/10,17,3
2023/3/11,7,8
2023/3/12,9,12
2023/3/13,17,15
2023/3/14,17,3
2023/3/15,9,7
2023/3/16,13,7
2023/3/17,22,7
2023/3/18,18,11
2023/3/19,24,12
2023/3/20,29,11
2023/3/21,14,11
2023/3/22,21,14
