date,pm25,pm10,no2,so2
2023/5/1,28,12,6,1
2023/5/2,38,14,6,
2023/5/3,43,16,9,1
2023/5/4,36,15,9,1
2023/5/5,37,10,5,2
2023/5/6,27,10,8,
2023/5/7,34,,,
2023/4/1,5,4,2,
2023/4/2,14,9,5,
2023/4/3,19,14,5,
2023/4/4,26,13,7,
2023/4/5,28,19,10,
2023/4/6,38,21,7,
2023/4/7,57,9,8,
2023/4/8,30,14,5,
2023/4/9,51,17,8,
2023/4/10,55,12,10,
2023/4/11,39,7,9,
2023/4/12,18,6,10,
2023/4/13,16,2,5,
2023/4/14,10,2,4,
2023/4/15,10,7,7,
2023/4/16,24,12,6,
2023/4/17,35,11,7,
2023/4/18,31,13,8,
2023/4/19,39,17,9,
2023/4/20,50,22,11,
2023/4/21,49,17,8,1
2023/4/22,42,13,3,
2023/4/23,34,6,5,1
2023/4/24,15,5,4,
2023/4/25,14,12,6,
2023/4/26,24,17,12,
2023/4/27,38,15,10,1
2023/4/28,37,15,9,
2023/4/29,48,11,4,
2023/4/30,36,9,4,
2023/1/2,51,15,13,
2023/1/3,46,13,10,
2023/1/4,40,2,3,
2023/1/5,8,6,8,
2023/1/6,21,8,9,
2023/1/7,29,18,5,
2023/1/8,62,6,7,
2023/1/9,23,4,5,
2023/1/10,11,11,14,
2023/1/11,29,8,8,
2023/1/12,24,12,8,
2023/1/13,43,5,3,
2023/1/14,13,6,5,
2023/1/15,22,3,5,
2023/1/16,10,8,10,
2023/1/17,25,12,13,
2023/1/18,30,12,7,
2023/1/19,40,15,10,
2023/1/20,46,8,6,
2023/1/21,31,12,8,
2023/1/22,44,16,11,1
2023/1/23,56,16,11,1
2023/1/24,54,16,9,
2023/1/25,52,16,11,
2023/1/26,53,18,9,1
2023/1/27,55,17,7,
2023/1/28,57,15,10,
2023/1/29,48,12,9,1
2023/1/30,41,6,4,1
2023/1/31,16,4,4,1
2023/2/1,12,3,6,1
2023/2/2,10,2,4,
2023/2/3,8,3,3,
2023/2/4,9,9,5,
2023/2/5,23,22,13,1
2023/2/6,53,35,14,2
2023/2/7,74,32,17,1
2023/2/8,72,21,9,1
2023/2/9,65,29,16,1
2023/2/10,67,24,10,
2023/2/11,63,18,7,1
2023/2/12,59,19,13,1
2023/2/13,38,21,10,1
2023/2/14,52,26,12,
2023/2/15,71,41,17,1
2023/2/16,90,20,9,1
2023/2/17,41,3,2,1
2023/2/18,6,3,3,1
2023/2/19,8,5,4,1
2023/2/20,16,6,5,1
2023/2/21,14,12,12,1
2023/2/22,27,20,8,
2023/2/23,60,23,9,
2023/2/24,60,2,3,
2023/2/25,7,5,3,
2023/2/26,15,11,7,
2023/2/27,25,21,12,
2023/2/28,56,35,17,1
2023/3/1,78,39,17,1
2023/3/2,85,39,19,1
2023/3/3,83,23,10,
2023/3/4,62,11,6,
2023/3/5,40,15,7,
2023/3/6,41,18,8,
2023/3/7,52,17,5,
2023/3/8,45,11,7,
2023/3/9,20,12,10,
2023/3/10,27,4,3,
2023/3/11,8,7,5,
2023/3/12,24,12,9,
2023/3/13,26,13,11,
2023/3/14,21,12,5,
2023/3/15,17,14,9,
2023/3/16,32,12,7,1
2023/3/17,28,10,6,5
2023/3/18,34,20,11,2
