date,pm25,pm10,no2
2023/5/1,26,11,
2023/5/2,39,13,
2023/5/3,45,13,
2023/5/4,35,16,
2023/5/5,38,8,
2023/5/6,21,9,
2023/5/7,29,,
2023/4/1,5,4,
2023/4/2,13,6,
2023/4/3,17,8,
2023/4/4,23,9,
2023/4/5,25,11,
2023/4/6,31,18,
2023/4/7,54,8,
2023/4/8,30,13,
2023/4/9,48,16,
2023/4/10,53,13,
2023/4/11,38,8,
2023/4/12,19,5,
2023/4/13,15,2,
2023/4/14,6,3,
2023/4/15,11,6,
2023/4/16,20,11,
2023/4/17,35,9,
2023/4/18,29,12,
2023/4/19,40,16,
2023/4/20,49,23,
2023/4/21,51,19,
2023/4/22,43,14,
2023/4/23,33,5,
2023/4/24,13,5,
2023/4/25,14,9,
2023/4/26,23,14,
2023/4/27,31,16,
2023/4/28,40,14,
2023/4/29,44,12,
2023/4/30,37,10,
2023/1/2,45,11,
2023/1/3,38,11,
2023/1/4,35,3,
2023/1/5,11,6,
2023/1/6,20,9,
2023/1/7,28,21,
2023/1/8,60,8,
2023/1/9,27,7,
2023/1/10,14,16,
2023/1/11,32,20,
2023/1/12,23,14,
2023/1/13,42,6,
2023/1/14,17,7,
2023/1/15,25,7,
2023/1/16,19,14,
2023/1/17,37,12,
2023/1/18,29,13,
2023/1/19,41,17,
2023/1/20,48,8,
2023/1/21,30,12,
2023/1/22,45,16,
2023/1/23,56,16,
2023/1/24,54,15,
2023/1/25,51,15,
2023/1/26,50,17,
2023/1/27,54,17,
2023/1/28,55,13,
2023/1/29,43,11,
2023/1/30,34,7,
2023/1/31,17,4,
2023/2/1,12,2,
2023/2/2,9,2,
2023/2/3,8,3,
2023/2/4,9,11,
2023/2/5,19,20,
2023/2/6,51,32,
2023/2/7,72,36,
2023/2/8,75,25,
2023/2/9,63,29,
2023/2/10,64,23,
2023/2/11,63,19,
2023/2/12,59,14,
2023/2/13,31,17,
2023/2/14,51,26,
2023/2/15,71,34,
2023/2/16,82,15,
2023/2/17,33,4,
2023/2/18,7,3,
2023/2/19,8,6,
2023/2/20,15,7,
2023/2/21,15,12,
2023/2/22,30,24,
2023/2/23,64,23,
2023/2/24,58,3,
2023/2/25,8,5,
2023/2/26,14,8,
2023/2/27,24,21,
2023/2/28,57,34,
2023/3/1,75,36,
2023/3/2,80,34,
2023/3/3,82,24,
2023/3/4,66,12,
2023/3/5,42,16,
2023/3/6,43,18,
2023/3/7,52,18,
2023/3/8,46,15,
2023/3/9,17,10,
2023/3/10,18,4,
2023/3/11,8,7,
2023/3/12,21,13,
2023/3/13,25,11,
2023/3/14,18,9,
2023/3/15,16,11,
2023/3/16,28,12,
2023/3/17,27,12,
2023/3/18,35,22,
2023/3/19,59,16,
2023/3/20,44,11,
2023/3/21,25,16,
2023/3/22,32,24,
2023/3/23,48,26,
2023/3/24,48,3,
2023/3/25,6,3,
2023/3/26,7,4,
2023/3/27,10,6,
2023/3/28,12,8,
2023/3/29,18,12,
2023/3/30,38,8,
2023/3/31,18,2,
2022/10/1,32,3,
2022/10/2,7,19,
2022/10/3,18,14,
2022/10/4,21,12,
2022/10/5,27,18,
2022/10/6,31,18,
2022/10/7,47,24,
2022/10/8,62,9,
2022/10/9,20,15,
2022/10/10,27,16,
2022/10/11,44,14,
2022/10/12,37,26,
2022/10/13,64,15,
2022/10/14,47,22,
2022/10/15,67,21,
2022/10/16,63,20,
2022/10/17,53,20,
2022/10/18,47,8,
2022/10/19,21,9,
2022/10/20,24,12,
2022/10/21,28,10,
2022/10/22,29,9,
2022/10/23,32,10,
2022/10/24,35,9,
2022/10/25,11,14,
2022/10/26,45,16,
2022/10/27,47,10,
2022/10/28,35,10,
2022/10/29,34,10,
2022/10/30,33,10,
2022/10/31,33,10,
2022/11/1,33,19,
2022/11/2,34,10,
2022/11/3,28,12,
2022/11/4,39,5,
2022/11/5,16,7,
2022/11/6,23,8,
2022/11/7,24,20,
2022/11/8,60,25,
2022/11/9,74,15,
2022/11/10,44,18,
2022/11/11,42,13,
2022/11/12,34,23,
2022/11/13,65,28,
2022/11/14,74,18,
2022/11/15,60,13,
2022/11/16,42,16,
2022/11/17,44,16,
2022/11/18,48,18,
2022/11/19,57,21,
2022/11/20,65,28,
2022/11/21,33,18,
2022/11/22,53,12,
2022/11/23,38,10,
2022/11/24,29,20,
2022/11/25,36,10,
2022/11/26,34,17,
2022/11/27,47,19,
2022/11/28,56,25,
2022/11/29,66,42,
2022/11/30,83,33,
2022/12/1,79,28,
2022/12/2,72,17,
2022/12/3,56,22,
2022/12/4,66,14,
2022/12/5,49,27,
2022/12/6,33,41,
2022/12/7,45,17,
2022/12/8,47,12,
2022/12/9,38,15,
2022/12/10,52,13,
2022/12/11,44,17,
2022/12/12,46,23,
2022/12/13,49,25,
2022/12/14,73,42,
2022/12/15,102,18,
2022/12/16,55,22,
2022/12/17,67,23,
2022/12/18,65,24,
2022/12/19,72,25,
2022/12/20,74,23,
2022/12/21,68,21,
2022/12/22,61,15,
2022/12/23,49,4,
2022/12/24,10,11,
2022/12/25,37,18,
2022/12/26,57,4,
2022/12/27,12,14,
2022/12/28,38,23,
2022/12/29,66,29,
2022/12/30,76,21,
2022/12/31,66,24,
2023/1/1,72,12,
2022/7/1,24,5,
2022/7/2,12,8,
2022/7/3,20,9,
2022/7/4,19,7,
2022/7/5,22,9,
2022/7/6,24,10,
2022/7/7,24,8,
2022/7/8,21,5,
2022/7/9,13,5,
2022/7/10,12,5,
2022/7/11,9,7,
2022/7/12,11,7,
2022/7/13,12,9,
2022/7/14,11,6,
2022/7/15,15,6,
2022/7/16,15,4,
2022/7/17,9,8,
2022/7/18,10,13,
2022/7/19,15,19,
2022/7/20,23,21,
2022/7/21,32,18,
2022/7/22,34,14,
2022/7/23,29,10,
2022/7/24,27,16,
2022/7/25,30,17,
2022/7/26,40,12,
2022/7/27,28,14,
2022/7/28,29,15,
2022/7/29,35,7,
2022/7/30,19,9,
2022/7/31,23,9,
2022/8/1,19,7,
2022/8/2,12,10,
2022/8/3,16,13,
2022/8/4,23,15,
2022/8/5,24,9,
2022/8/6,22,9,
2022/8/7,26,11,
2022/8/8,23,14,
2022/8/9,18,14,
2022/8/10,21,14,
2022/8/11,15,10,
2022/8/12,14,11,
2022/8/13,27,10,
2022/8/14,31,12,
2022/8/15,31,27,
2022/8/16,24,21,
2022/8/17,26,25,
2022/8/18,33,35,
2022/8/19,41,7,
2022/8/20,11,6,
2022/8/21,15,7,
2022/8/22,20,15,
2022/8/23,22,29,
2022/8/24,38,27,
2022/8/25,53,26,
2022/8/26,46,13,
2022/8/27,29,8,
2022/8/28,22,36,
2022/8/29,40,17,
2022/8/30,31,15,
2022/8/31,25,10,
2022/9/1,13,19,
2022/9/2,19,10,
2022/9/3,19,7,
2022/9/4,22,17,
2022/9/5,39,20,
2022/9/6,41,16,
2022/9/7,38,21,
2022/9/8,34,7,
2022/9/9,13,5,
2022/9/10,11,3,
2022/9/11,10,21,
2022/9/12,29,12,
2022/9/13,25,15,
2022/9/14,37,21,
2022/9/15,21,30,
2022/9/16,35,7,
2022/9/17,14,4,
2022/9/18,7,30,
2022/9/19,31,14,
2022/9/20,25,19,
2022/9/21,23,21,
2022/9/22,22,9,
2022/9/23,20,14,
2022/9/24,35,17,
2022/9/25,51,18,
2022/9/26,35,7,
2022/9/27,17,7,
2022/9/28,10,6,
2022/9/29,15,9,
2022/9/30,28,10,
2022/4/1,47,20,
2022/4/2,59,13,
2022/4/3,41,13,
2022/4/4,44,6,
2022/4/5,20,8,
2022/4/6,22,5,
2022/4/7,11,7,
2022/4/8,15,5,
2022/4/9,18,5,
2022/4/10,18,9,
2022/4/11,25,15,
2022/4/12,39,17,
2022/4/13,40,18,
2022/4/14,34,15,
2022/4/15,44,6,
2022/4/16,21,10,
2022/4/17,32,10,
2022/4/18,36,11,
2022/4/19,41,19,
2022/4/20,56,20,
2022/4/21,56,19,
2022/4/22,57,21,
2022/4/23,64,9,
2022/4/24,25,5,
2022/4/25,16,14,
2022/4/26,45,6,
2022/4/27,21,11,
2022/4/28,32,11,
2022/4/29,31,12,
2022/4/30,35,10,
2022/5/1,36,12,
2022/5/2,40,10,
2022/5/3,28,13,
2022/5/4,38,9,
2022/5/5,27,15,
2022/5/6,49,17,
2022/5/7,56,16,
2022/5/8,54,14,
2022/5/9,42,12,
2022/5/10,34,16,
2022/5/11,37,21,
2022/5/12,38,9,
2022/5/13,25,12,
2022/5/14,23,12,
2022/5/15,27,21,
2022/5/16,40,10,
2022/5/17,28,14,
2022/5/18,27,18,
2022/5/19,21,21,
2022/5/20,27,11,
2022/5/21,27,8,
2022/5/22,19,12,
2022/5/23,24,15,
2022/5/24,39,5,
2022/5/25,13,5,
2022/5/26,9,7,
2022/5/27,11,7,
2022/5/28,16,6,
2022/5/29,16,6,
2022/5/30,14,9,
2022/5/31,16,7,
2022/6/1,16,11,
2022/6/2,25,12,
2022/6/3,28,7,
2022/6/4,17,13,
2022/6/5,39,7,
2022/6/6,18,11,
2022/6/7,30,9,
2022/6/8,21,6,
2022/6/9,15,9,
2022/6/10,30,10,
2022/6/11,28,7,
2022/6/12,22,5,
2022/6/13,20,4,
2022/6/14,15,7,
2022/6/15,24,7,
2022/6/16,25,7,
2022/6/17,22,5,
2022/6/18,13,7,
2022/6/19,25,10,
2022/6/20,30,5,
2022/6/21,15,6,
2022/6/22,20,9,
2022/6/23,28,15,
2022/6/24,34,4,
2022/6/25,12,8,
2022/6/26,21,14,
2022/6/27,26,11,
2022/6/28,20,18,
2022/6/29,36,14,
2022/6/30,25,14,
2022/1/3,13,12,
2022/1/4,38,3,
2022/1/5,10,5,
2022/1/6,17,10,
2022/1/7,32,17,
2022/1/8,55,29,
2022/1/9,80,16,
2022/1/10,54,22,
2022/1/11,66,22,
2022/1/12,66,13,
2022/1/13,47,6,
2022/1/14,21,9,
2022/1/15,32,,
2022/1/17,25,9,
2022/1/18,28,20,
2022/1/19,56,7,
2022/1/20,25,8,
2022/1/21,17,5,
2022/1/22,19,10,
2022/1/23,37,24,
2022/1/24,67,19,
2022/1/25,62,17,
2022/1/26,56,16,
2022/1/27,51,4,
2022/1/28,13,6,
2022/1/29,23,5,
2022/1/30,13,8,
2022/1/31,27,8,
2022/2/1,27,3,
2022/2/2,11,8,
2022/2/3,20,15,
2022/2/4,46,5,
2022/2/5,16,5,
2022/2/6,17,3,
2022/2/7,10,5,
2022/2/8,15,5,
2022/2/9,16,10,
2022/2/10,30,10,
2022/2/11,32,8,
2022/2/12,28,11,
2022/2/13,40,22,
2022/2/14,60,22,
2022/2/15,56,8,
2022/2/16,28,4,
2022/2/17,10,9,
2022/2/18,25,4,
2022/2/19,12,5,
2022/2/20,15,7,
2022/2/21,20,4,
2022/2/22,12,5,
2022/2/23,15,11,
2022/2/24,30,5,
2022/2/25,17,8,
2022/2/26,26,21,
2022/2/27,64,14,
2022/2/28,46,20,
2022/3/1,57,21,
2022/3/2,55,29,
2022/3/3,67,23,
2022/3/4,64,17,
2022/3/5,55,22,
2022/3/6,69,22,
2022/3/7,64,19,
2022/3/8,53,17,
2022/3/9,50,20,
2022/3/10,54,17,
2022/3/11,45,17,
2022/3/12,45,19,
2022/3/13,54,22,
2022/3/14,55,32,
2022/3/15,70,24,
2022/3/16,72,40,
2022/3/17,95,39,
2022/3/18,93,41,
2022/3/19,96,21,
2022/3/20,59,20,
2022/3/21,51,29,
2022/3/22,63,36,
2022/3/23,69,31,
2022/3/24,60,38,
2022/3/25,73,35,
2022/3/26,71,19,
2022/3/27,54,30,
2022/3/28,56,32,
2022/3/29,61,38,
2022/3/30,74,26,
2022/3/31,70,13,
2021/10/1,23,18,
2021/10/2,53,17,
2021/10/3,51,13,
2021/10/4,42,14,
2021/10/5,40,6,
2021/10/6,19,8,
2021/10/7,26,25,
2021/10/8,62,25,
2021/10/9,63,20,
2021/10/10,59,19,
2021/10/11,56,13,
2021/10/12,45,7,
2021/10/13,22,10,
2021/10/14,34,10,
2021/10/15,28,11,
2021/10/16,32,16,
2021/10/17,47,16,
2021/10/18,40,23,
2021/10/19,54,28,
2021/10/20,65,25,
2021/10/21,52,7,
2021/10/22,12,9,
2021/10/23,24,10,
2021/10/24,29,15,
2021/10/25,30,23,
2021/10/26,60,24,
2021/10/27,58,33,
2021/10/28,79,37,
2021/10/29,84,46,
2021/10/30,110,40,
2021/10/31,101,36,
2021/11/1,95,8,
2021/11/2,21,12,
2021/11/3,39,9,
2021/11/4,38,6,
2021/11/5,18,9,
2021/11/6,34,13,
2021/11/7,43,10,
2021/11/8,31,11,
2021/11/9,31,15,
2021/11/10,51,29,
2021/11/11,79,19,
2021/11/12,62,18,
2021/11/13,58,17,
2021/11/14,57,27,
2021/11/15,72,28,
2021/11/16,73,16,
2021/11/17,44,11,
