date,pm25,pm10,no2
2023/5/1,30,12,3
2023/5/2,42,15,2
2023/5/3,47,12,2
2023/5/4,37,14,4
2023/5/5,39,9,3
2023/5/6,31,13,2
2023/5/7,39,,
2023/4/1,5,4,2
2023/4/2,14,6,1
2023/4/3,19,8,1
2023/4/4,26,9,3
2023/4/5,30,12,3
2023/4/6,39,21,3
2023/4/7,62,9,3
2023/4/8,34,15,3
2023/4/9,54,17,3
2023/4/10,57,12,9
2023/4/11,42,8,4
2023/4/12,18,5,4
2023/4/13,16,3,7
2023/4/14,12,1,4
2023/4/15,7,6,3
2023/4/16,21,11,3
2023/4/17,37,10,3
2023/4/18,33,14,3
2023/4/19,43,15,2
2023/4/20,50,20,4
2023/4/21,49,17,3
2023/4/22,42,15,3
2023/4/23,40,7,5
2023/4/24,18,6,3
2023/4/25,14,9,2
2023/4/26,27,12,3
2023/4/27,35,14,4
2023/4/28,40,19,6
2023/4/29,57,13,1
2023/4/30,39,10,3
2023/1/2,57,17,8
2023/1/3,54,12,6
2023/1/4,39,2,4
2023/1/5,8,6,7
2023/1/6,19,9,5
2023/1/7,30,21,5
2023/1/8,67,7,6
2023/1/9,23,4,2
2023/1/10,12,9,9
2023/1/11,25,8,8
2023/1/12,23,14,9
2023/1/13,48,6,4
2023/1/14,30,7,3
2023/1/15,27,3,5
2023/1/16,11,7,5
2023/1/17,25,6,5
2023/1/18,20,13,5
2023/1/19,39,16,6
2023/1/20,54,9,4
2023/1/21,38,13,4
2023/1/22,49,18,7
2023/1/23,60,16,6
2023/1/24,56,13,3
2023/1/25,48,16,4
2023/1/26,55,17,4
2023/1/27,58,18,4
2023/1/28,61,13,2
2023/1/29,47,13,7
2023/1/30,43,7,6
2023/1/31,17,5,5
2023/2/1,14,4,8
2023/2/2,10,3,5
2023/2/3,9,3,2
2023/2/4,7,,
2023/2/6,55,28,6
2023/2/7,77,22,6
2023/2/8,65,23,5
2023/2/9,69,26,9
2023/2/10,66,24,10
2023/2/11,67,,10
2023/2/13,32,15,6
2023/2/14,53,23,4
2023/2/15,68,30,9
2023/2/16,82,20,7
2023/2/17,42,4,3
2023/2/18,8,3,2
2023/2/19,9,6,5
2023/2/20,16,9,7
2023/2/21,18,8,4
2023/2/22,23,22,5
2023/2/23,65,23,6
2023/2/24,64,3,3
2023/2/25,8,4,1
2023/2/26,15,8,2
2023/2/27,27,18,3
2023/2/28,57,31,6
2023/3/1,77,35,5
2023/3/2,86,36,7
2023/3/3,87,24,5
2023/3/4,66,12,4
2023/3/5,43,15,6
2023/3/6,42,19,5
2023/3/7,54,18,6
2023/3/8,49,14,6
2023/3/9,17,10,5
2023/3/10,24,4,2
2023/3/11,8,7,4
2023/3/12,21,12,7
2023/3/13,28,10,9
2023/3/14,18,6,1
2023/3/15,14,10,2
2023/3/16,28,12,3
2023/3/17,33,12,3
2023/3/18,38,17,3
2023/3/19,53,19,9
2023/3/20,50,10,7
2023/3/21,26,13,8
2023/3/22,34,22,8
2023/3/23,47,21,7
2023/3/24,49,3,3
2023/3/25,7,3,2
2023/3/26,7,3,2
2023/3/27,9,5,3
2023/3/28,13,7,5
2023/3/29,17,13,6
2023/3/30,39,7,6
2023/3/31,19,2,3
2022/10/1,34,3,3
2022/10/2,7,5,2
2022/10/3,11,8,5
2022/10/4,18,11,4
2022/10/5,26,12,4
2022/10/6,26,16,4
2022/10/7,43,23,5
2022/10/8,61,8,1
2022/10/9,19,12,3
2022/10/10,28,17,2
