date,pm25,pm10,no2
2023/5/1,32,18,3
2023/5/2,57,19,5
2023/5/3,56,15,4
2023/5/4,38,21,9
2023/5/5,44,9,5
2023/5/6,23,13,1
2023/5/7,36,,
2023/4/1,7,5,3
2023/4/2,15,9,4
2023/4/3,22,10,3
2023/4/4,28,12,5
2023/4/5,36,14,6
2023/4/6,41,22,6
2023/4/7,65,13,6
2023/4/8,46,22,4
2023/4/9,67,21,3
2023/4/10,65,20,10
2023/4/11,54,12,10
2023/4/12,27,7,5
2023/4/13,19,4,3
2023/4/14,9,5,7
2023/4/15,11,9,5
2023/4/16,28,14,4
2023/4/17,48,13,4
2023/4/18,41,16,4
2023/4/19,50,20,8
2023/4/20,58,27,9
2023/4/21,57,23,10
2023/4/22,51,18,6
2023/4/23,43,7,4
2023/4/24,18,7,4
2023/4/25,17,11,4
2023/4/26,30,17,9
2023/4/27,37,21,9
2023/4/28,48,17,6
2023/4/29,49,15,2
2023/4/30,48,12,4
2023/1/2,60,17,12
2023/1/3,57,14,9
2023/1/4,43,3,3
2023/1/5,8,12,11
2023/1/6,35,11,12
2023/1/7,34,22,7
2023/1/8,69,11,7
2023/1/9,29,5,4
2023/1/10,11,15,20
2023/1/11,38,9,9
2023/1/12,17,19,21
2023/1/13,52,7,8
2023/1/14,20,8,6
2023/1/15,29,6,12
2023/1/16,15,15,16
2023/1/17,37,12,11
2023/1/18,36,15,6
2023/1/19,50,17,7
2023/1/20,58,11,5
2023/1/21,37,16,6
2023/1/22,56,19,9
2023/1/23,61,19,9
2023/1/24,61,17,7
2023/1/25,57,17,11
2023/1/26,56,20,7
2023/1/27,63,20,6
2023/1/28,64,19,6
2023/1/29,57,13,6
2023/1/30,43,7,4
2023/1/31,17,5,4
2023/2/1,14,5,5
2023/2/2,12,3,4
2023/2/3,7,4,2
2023/2/4,10,13,5
2023/2/5,31,26,9
2023/2/6,65,37,10
2023/2/7,85,55,17
2023/2/8,95,42,13
2023/2/9,80,36,13
2023/2/10,82,28,6
2023/2/11,76,24,6
2023/2/12,72,22,12
2023/2/13,58,23,8
2023/2/14,63,37,17
2023/2/15,81,34,13
2023/2/16,79,16,7
2023/2/17,41,4,2
2023/2/18,9,4,2
2023/2/19,9,8,7
2023/2/20,27,10,7
2023/2/21,26,18,17
2023/2/22,38,30,15
2023/2/23,72,27,10
2023/2/24,67,4,2
2023/2/25,9,7,3
2023/2/26,17,9,5
2023/2/27,21,29,12
2023/2/28,75,39,15
2023/3/1,89,45,15
