date,pm25,pm10,no2,so2,co
2023/5/1,33,13,4,3,
2023/5/2,46,16,4,3,
2023/5/3,49,14,7,3,
2023/5/4,39,17,7,1,
2023/5/5,41,11,4,1,
2023/5/6,30,12,8,1,
2023/5/7,36,,,,
2023/4/1,5,5,2,1,
2023/4/2,15,8,4,,
2023/4/3,21,11,3,,
2023/4/4,30,11,5,,
2023/4/5,32,14,7,1,
2023/4/6,41,23,5,1,
2023/4/7,66,12,6,1,
2023/4/8,41,17,4,2,
2023/4/9,57,19,6,2,
2023/4/10,61,13,9,2,
2023/4/11,40,8,6,1,
2023/4/12,19,7,7,,
2023/4/13,20,4,4,,
2023/4/14,10,3,4,,
2023/4/15,9,8,5,1,
2023/4/16,25,12,4,1,
2023/4/17,41,12,5,1,
2023/4/18,38,15,5,2,
2023/4/19,46,17,8,2,
2023/4/20,55,21,11,2,
2023/4/21,53,18,5,2,
2023/4/22,46,15,3,2,
2023/4/23,41,6,3,2,
2023/4/24,17,6,3,2,
2023/4/25,15,10,4,2,
2023/4/26,27,15,10,1,
2023/4/27,39,17,6,,
2023/4/28,46,18,7,1,
2023/4/29,55,14,3,2,
2023/4/30,46,11,3,2,
2023/1/2,54,17,13,,
2023/1/3,48,14,10,,
2023/1/4,44,4,2,,
2023/1/5,9,8,7,,
2023/1/6,22,9,6,1,
2023/1/7,28,20,5,,
2023/1/8,64,7,6,,
2023/1/9,17,5,5,,
2023/1/10,14,15,16,,
2023/1/11,34,8,7,,
2023/1/12,23,17,8,,
2023/1/13,53,6,2,,
2023/1/14,16,8,3,,
2023/1/15,25,5,6,,
2023/1/16,11,10,10,,
2023/1/17,27,13,13,,
2023/1/18,33,14,7,,
2023/1/19,45,15,9,,
2023/1/20,52,10,6,,
2023/1/21,34,13,6,,
2023/1/22,48,17,10,,
2023/1/23,59,18,9,,
2023/1/24,57,17,8,,
2023/1/25,55,19,10,,
2023/1/26,59,19,9,,
2023/1/27,61,19,7,,
2023/1/28,61,16,8,,
2023/1/29,53,11,8,,
2023/1/30,32,6,4,,
2023/1/31,16,5,4,,
2023/2/1,12,4,6,,
2023/2/2,10,3,4,,
2023/2/3,6,5,3,,
2023/2/4,10,8,5,,
2023/2/5,27,21,11,,
2023/2/6,59,29,11,2,
2023/2/7,76,31,17,,
2023/2/8,74,24,6,,
2023/2/9,70,28,14,,
2023/2/10,69,22,8,,
2023/2/11,63,17,5,,
2023/2/12,56,15,11,,
2023/2/13,39,18,8,,
2023/2/14,55,27,11,,
2023/2/15,75,39,16,,
2023/2/16,92,18,9,,
2023/2/17,35,4,2,,
2023/2/18,7,4,2,,
2023/2/19,8,6,4,,
2023/2/20,15,7,4,,
