date,pm10,no2,so2,co
2023/5/1,13,11,1,
2023/5/2,11,13,1,
2023/5/3,14,12,1,
2023/5/4,19,14,1,
2023/5/5,21,11,1,
2023/5/6,17,6,1,
2023/5/7,11,7,1,
2023/5/8,20,9,1,
2023/5/9,19,12,1,
2023/5/10,20,12,1,
2023/5/11,16,10,1,
2023/5/12,6,8,1,
2023/5/13,9,8,1,
2023/5/14,8,9,1,
2023/5/15,9,11,1,
2023/5/16,9,6,1,
2023/5/17,4,4,1,
2023/5/18,5,9,1,
2023/5/19,15,6,,
2023/5/20,14,8,1,
2023/5/21,17,12,1,
2023/5/22,21,13,1,
2023/5/23,25,13,1,
2023/5/24,12,8,1,
2023/5/25,12,,,
2023/4/1,12,8,1,
2023/4/2,10,9,1,
2023/4/3,11,,,
2023/4/7,27,9,1,
2023/4/8,20,8,1,
2023/4/9,13,9,1,
2023/4/10,12,17,1,
2023/4/11,24,17,1,
2023/4/12,21,15,1,
2023/4/13,11,9,,
2023/4/14,5,14,1,
2023/4/15,10,9,1,
2023/4/16,10,7,1,
2023/4/17,10,13,1,
2023/4/18,15,11,1,
2023/4/19,13,12,1,
2023/4/20,13,16,1,
2023/4/21,22,12,1,
2023/4/22,18,8,1,
2023/4/23,15,14,1,
2023/4/24,13,11,1,
2023/4/25,12,15,1,
2023/4/26,16,12,1,
2023/4/27,20,17,1,
2023/4/28,24,10,1,
2023/4/29,14,7,1,
2023/4/30,10,8,1,
2023/1/2,32,17,1,
2023/1/3,30,15,1,
2023/1/4,34,17,1,
2023/1/5,33,14,,
2023/1/6,18,15,,
2023/1/7,23,14,,
2023/1/8,25,20,,
2023/1/9,17,9,,
2023/1/10,12,24,1,
2023/1/11,40,22,1,
2023/1/12,42,22,1,
2023/1/13,46,19,,
2023/1/14,28,,,
2023/1/16,9,16,,
2023/1/17,13,17,1,
2023/1/18,18,13,,
2023/1/19,13,13,,
2023/1/20,18,8,,
2023/1/21,9,10,,
2023/1/22,12,19,,
2023/1/23,18,18,1,
2023/1/24,12,15,,
2023/1/25,16,15,,
2023/1/26,23,13,,
2023/1/27,18,12,,
2023/1/28,23,9,,
2023/1/29,21,15,,
2023/1/30,26,17,,
2023/1/31,22,20,,
2023/2/1,28,15,,
2023/2/2,9,13,,
2023/2/3,19,5,,
2023/2/4,7,11,,
2023/2/5,13,18,,
2023/2/6,35,22,,
2023/2/7,42,20,,
2023/2/8,37,24,1,
2023/2/9,38,25,1,
2023/2/10,44,26,1,
2023/2/11,45,20,1,
2023/2/12,27,22,1,
2023/2/13,31,22,1,
2023/2/14,38,21,1,
2023/2/15,45,24,1,
2023/2/16,52,31,1,
2023/2/17,54,22,1,
2023/2/18,34,11,1,
2023/2/19,24,19,1,
2023/2/20,26,22,1,
2023/2/21,32,20,1,
2023/2/22,33,23,1,
2023/2/23,41,17,1,
2023/2/24,41,8,1,
2023/2/25,14,8,,
2023/2/26,10,13,,
2023/2/27,18,14,,
2023/2/28,24,17,1,
2023/3/1,28,16,1,
2023/3/2,27,17,1,
2023/3/3,33,14,,
2023/3/4,27,9,,
2023/3/5,25,12,,
2023/3/6,25,15,1,
2023/3/7,28,13,1,
2023/3/8,30,15,,
2023/3/9,20,21,1,
2023/3/10,25,9,,
2023/3/11,11,10,,
2023/3/12,13,22,1,
2023/3/13,32,16,1,
2023/3/14,22,12,,
2023/3/15,15,17,,
