date,pm10,no2
2023/5/1,13,4
2023/5/2,9,4
2023/5/3,11,6
2023/5/4,15,8
2023/5/5,19,5
2023/5/6,15,3
2023/5/7,11,4
2023/5/8,17,4
2023/5/9,15,6
2023/5/10,15,5
2023/5/11,13,3
2023/5/12,3,3
2023/5/13,5,3
2023/5/14,6,4
2023/5/15,3,6
2023/5/16,6,2
2023/5/17,3,1
2023/5/18,6,3
2023/5/19,11,2
2023/5/20,10,3
2023/5/21,13,5
2023/5/22,16,6
2023/5/23,15,6
2023/5/24,7,4
2023/5/25,4,
2023/4/1,8,4
2023/4/2,7,1
2023/4/3,8,
2023/4/7,26,5
2023/4/8,19,3
2023/4/9,12,6
2023/4/10,11,11
2023/4/11,20,8
2023/4/12,13,6
2023/4/13,8,3
2023/4/14,5,5
2023/4/15,6,4
2023/4/16,7,2
2023/4/17,8,5
2023/4/18,11,4
2023/4/19,9,5
2023/4/20,9,8
2023/4/21,19,6
2023/4/22,16,4
2023/4/23,14,7
2023/4/24,10,6
2023/4/25,11,7
2023/4/26,11,6
2023/4/27,17,9
2023/4/28,20,4
2023/4/29,11,3
2023/4/30,9,4
2023/1/2,22,14
2023/1/3,26,11
2023/1/4,27,12
2023/1/5,20,12
2023/1/6,13,11
2023/1/7,17,12
2023/1/8,20,14
2023/1/9,12,3
2023/1/10,8,20
2023/1/11,29,18
2023/1/12,31,19
2023/1/13,35,16
2023/1/14,22,
2023/1/16,6,11
2023/1/17,11,14
2023/1/18,13,7
2023/1/19,11,7
2023/1/20,15,3
2023/1/21,8,5
2023/1/22,7,15
2023/1/23,15,16
2023/1/24,11,9
2023/1/25,14,8
2023/1/26,17,7
2023/1/27,13,8
2023/1/28,20,6
2023/1/29,16,11
2023/1/30,17,9
2023/1/31,13,14
2023/2/1,18,8
2023/2/2,5,11
2023/2/3,13,1
2023/2/4,6,6
2023/2/5,9,13
2023/2/6,23,17
2023/2/7,32,13
2023/2/8,27,17
2023/2/9,28,21
2023/2/10,37,21
2023/2/11,34,16
2023/2/12,22,17
2023/2/13,23,18
2023/2/14,30,16
2023/2/15,38,20
2023/2/16,42,26
2023/2/17,42,18
2023/2/18,27,10
2023/2/19,16,12
2023/2/20,16,14
2023/2/21,20,15
2023/2/22,22,18
2023/2/23,36,10
2023/2/24,34,4
2023/2/25,10,3
2023/2/26,5,8
2023/2/27,14,7
2023/2/28,20,10
2023/3/1,25,11
2023/3/2,23,12
2023/3/3,28,9
2023/3/4,25,7
2023/3/5,23,6
2023/3/6,21,10
2023/3/7,25,8
2023/3/8,25,10
2023/3/9,13,14
2023/3/10,20,3
2023/3/11,8,6
2023/3/12,11,17
2023/3/13,26,9
2023/3/14,15,3
2023/3/15,8,9
2023/3/16,12,13
2023/3/17,24,9
2023/3/18,23,12
2023/3/19,31,12
2023/3/20,28,13
2023/3/21,21,14
2023/3/22,26,14
2023/3/23,31,12
2023/3/24,29,4
2023/3/25,7,5
2023/3/26,9,4
2023/3/27,8,2
2023/3/28,8,13
2023/3/29,18,14
2023/3/30,27,6
2023/3/31,14,5
2022/10/1,9,5
2022/10/2,9,7
2022/10/3,10,10
2022/10/4,18,10
2022/10/5,20,10
2022/10/6,22,9
2022/10/7,25,7
2022/10/8,23,4
2022/10/9,15,8
2022/10/10,22,7
2022/10/11,26,7
2022/10/12,30,9
2022/10/13,35,9
2022/10/14,37,8
2022/10/15,42,7
2022/10/16,31,9
