date,pm10,no2
2023/5/1,12,
2023/5/2,10,
2023/5/3,13,
2023/5/4,13,
2023/5/5,14,
2023/5/6,14,
2023/5/7,10,
2023/5/8,15,
2023/5/9,13,
2023/5/10,14,
2023/5/11,12,
2023/5/12,4,
2023/5/13,9,
2023/5/14,8,
2023/5/15,7,
2023/5/16,7,
2023/5/17,5,
2023/5/18,8,
2023/5/19,14,
2023/5/20,13,
2023/5/21,16,
2023/5/22,15,
2023/5/23,13,
2023/5/24,7,
2023/5/25,7,
2023/4/1,7,
2023/4/2,6,
2023/4/3,6,
2023/4/7,26,
2023/4/8,20,
2023/4/9,14,
2023/4/10,10,
2023/4/11,14,
2023/4/12,8,
2023/4/13,9,
2023/4/14,5,
2023/4/15,7,
2023/4/16,6,
2023/4/17,7,
2023/4/18,8,
2023/4/19,11,
2023/4/20,9,
2023/4/21,13,
2023/4/22,13,
2023/4/23,15,
2023/4/24,7,
2023/4/25,9,
2023/4/26,6,
2023/4/27,13,
2023/4/28,16,
2023/4/29,10,
2023/4/30,9,
2023/1/2,11,
2023/1/3,14,
2023/1/4,16,
2023/1/5,13,
2023/1/6,10,
2023/1/7,10,
2023/1/8,11,
2023/1/9,7,
2023/1/10,6,
2023/1/11,18,
2023/1/12,16,
2023/1/13,19,
2023/1/14,10,
2023/1/16,8,
2023/1/17,11,
2023/1/18,14,
2023/1/19,8,
2023/1/20,12,
2023/1/21,9,
2023/1/22,12,
2023/1/23,12,
2023/1/24,12,
2023/1/25,16,
2023/1/26,16,
2023/1/27,15,
2023/1/28,22,
2023/1/29,19,
2023/1/30,16,
2023/1/31,8,
2023/2/1,10,
2023/2/2,7,
2023/2/3,10,
2023/2/4,5,
2023/2/5,9,
2023/2/6,19,
2023/2/7,24,
2023/2/8,25,
2023/2/9,19,
2023/2/10,23,
2023/2/11,23,
2023/2/12,14,
2023/2/13,10,
2023/2/14,19,
2023/2/15,28,
2023/2/16,30,
2023/2/17,18,
2023/2/18,14,
2023/2/19,16,
2023/2/20,10,
2023/2/21,13,
2023/2/22,15,
2023/2/23,31,
2023/2/24,28,
2023/2/25,12,
2023/2/26,6,
2023/2/27,10,
2023/2/28,18,
2023/3/1,22,
2023/3/2,21,
2023/3/3,26,
2023/3/4,20,
2023/3/5,22,
2023/3/6,18,
2023/3/7,22,
2023/3/8,19,
2023/3/9,9,
2023/3/10,11,
2023/3/11,8,
2023/3/12,9,
2023/3/13,14,
2023/3/14,11,
2023/3/15,7,
2023/3/16,7,
2023/3/17,16,
2023/3/18,19,
2023/3/19,25,
2023/3/20,23,
2023/3/21,12,
2023/3/22,13,
2023/3/23,20,
2023/3/24,21,
2023/3/25,5,
2023/3/26,7,
2023/3/27,7,
2023/3/28,6,
2023/3/29,15,
2023/3/30,18,
2023/3/31,10,
2022/10/1,11,
2022/10/2,10,
2022/10/3,9,
2022/10/4,14,
2022/10/5,16,
2022/10/6,18,
