date,pm10,no2
2023/5/1,13,
2023/5/2,10,6
2023/5/3,17,7
2023/5/4,16,7
2023/5/5,18,4
2023/5/6,16,3
2023/5/7,12,4
2023/5/8,20,5
2023/5/9,18,6
2023/5/10,20,5
2023/5/11,14,4
2023/5/12,8,3
2023/5/13,9,3
2023/5/14,8,5
2023/5/15,10,7
2023/5/16,8,3
2023/5/17,7,2
2023/5/18,8,4
2023/5/19,17,3
2023/5/20,15,3
2023/5/21,17,5
2023/5/22,21,8
2023/5/23,22,7
2023/5/24,13,4
2023/5/25,12,
2023/4/1,9,3
2023/4/2,7,3
2023/4/3,7,
2023/4/7,26,6
2023/4/8,17,5
2023/4/9,11,5
2023/4/10,15,11
2023/4/11,20,9
2023/4/12,17,9
2023/4/13,8,6
2023/4/14,4,6
2023/4/15,7,5
2023/4/16,10,4
2023/4/17,9,10
2023/4/18,18,6
2023/4/19,14,6
2023/4/20,12,7
2023/4/21,21,6
2023/4/22,17,4
2023/4/23,19,7
2023/4/24,12,6
2023/4/25,12,6
2023/4/26,12,5
2023/4/27,17,8
2023/4/28,21,4
2023/4/29,12,3
2023/4/30,11,2
2023/1/2,19,11
2023/1/3,28,12
2023/1/4,28,13
2023/1/5,33,11
2023/1/6,22,11
2023/1/7,23,11
2023/1/8,23,15
2023/1/9,13,4
2023/1/10,17,21
2023/1/11,40,19
2023/1/12,44,18
2023/1/13,44,15
2023/1/14,30,
2023/1/16,12,11
2023/1/17,13,14
2023/1/18,21,9
2023/1/19,18,11
2023/1/20,25,6
2023/1/21,15,9
2023/1/22,15,15
2023/1/23,15,15
2023/1/24,12,13
2023/1/25,22,9
2023/1/26,31,9
2023/1/27,16,9
2023/1/28,22,7
2023/1/29,24,12
2023/1/30,32,13
2023/1/31,26,13
2023/2/1,27,10
2023/2/2,9,12
2023/2/3,21,3
2023/2/4,8,6
2023/2/5,15,13
2023/2/6,32,15
2023/2/7,43,11
2023/2/8,39,16
2023/2/9,41,19
2023/2/10,45,19
2023/2/11,42,13
2023/2/12,30,14
2023/2/13,32,14
2023/2/14,40,13
2023/2/15,44,18
2023/2/16,56,22
2023/2/17,60,15
2023/2/18,39,7
2023/2/19,22,12
2023/2/20,29,14
2023/2/21,34,12
2023/2/22,34,15
2023/2/23,45,13
2023/2/24,44,4
2023/2/25,16,4
2023/2/26,12,7
2023/2/27,26,8
2023/2/28,25,11
2023/3/1,30,11
2023/3/2,33,13
2023/3/3,40,9
2023/3/4,34,5
2023/3/5,27,7
2023/3/6,28,9
2023/3/7,31,6
2023/3/8,37,3
2023/3/9,27,
2023/3/10,23,
2023/3/11,12,
2023/3/12,15,
2023/3/13,29,4
2023/3/14,22,4
2023/3/15,11,8
2023/3/16,16,10
2023/3/17,25,8
2023/3/18,25,9
2023/3/19,28,15
2023/3/20,33,10
2023/3/21,21,12
2023/3/22,25,15
2023/3/23,32,12
2023/3/24,32,5
2023/3/25,7,5
2023/3/26,11,5
2023/3/27,10,4
2023/3/28,8,12
2023/3/29,21,14
2023/3/30,29,8
2023/3/31,17,5
2022/10/1,16,4
2022/10/2,13,7
2022/10/3,19,10
2022/10/4,25,9
2022/10/5,30,9
2022/10/6,32,9
2022/10/7,32,6
2022/10/8,27,4
2022/10/9,19,8
2022/10/10,27,8
2022/10/11,33,7
2022/10/12,34,8
2022/10/13,40,8
2022/10/14,45,7
2022/10/15,44,5
2022/10/16,36,10
2022/10/17,40,11
2022/10/18,43,9
2022/10/19,31,7
2022/10/20,22,9
2022/10/21,35,9
2022/10/22,26,6
2022/10/23,17,9
2022/10/24,32,11
2022/10/25,23,7
2022/10/26,22,9
2022/10/27,32,10
2022/10/28,34,8
2022/10/29,26,7
2022/10/30,28,7
2022/10/31,27,7
2022/11/1,17,10
2022/11/2,29,7
2022/11/3,24,6
2022/11/4,16,4
2022/11/5,11,8
2022/11/6,17,12
2022/11/7,26,10
2022/11/8,31,8
2022/11/9,26,9
2022/11/10,26,10
2022/11/11,43,10
2022/11/12,34,8
2022/11/13,26,12
2022/11/14,39,9
2022/11/15,40,10
2022/11/16,26,10
2022/11/17,29,8
2022/11/18,26,8
2022/11/19,17,7
2022/11/20,17,10
2022/11/21,25,9
2022/11/22,20,10
2022/11/23,25,12
2022/11/24,33,13
2022/11/25,35,12
2022/11/26,29,11
2022/11/27,24,12
2022/11/28,32,8
2022/11/29,42,9
2022/11/30,19,13
2022/12/1,12,12
2022/12/2,26,7
2022/12/3,26,7
2022/12/4,17,8
2022/12/5,21,12
2022/12/6,18,13
2022/12/7,30,7
2022/12/8,25,11
2022/12/9,22,9
2022/12/10,17,4
2022/12/11,8,12
2022/12/12,23,15
