date,pm10,no2,co
2023/5/1,12,6,
2023/5/2,12,8,
2023/5/3,14,5,
2023/5/4,13,6,
2023/5/5,16,5,
2023/5/6,14,2,
2023/5/7,10,3,
2023/5/8,17,3,
2023/5/9,13,4,
2023/5/10,13,4,
2023/5/11,11,2,
2023/5/12,2,1,
2023/5/13,6,3,
2023/5/14,6,3,
2023/5/15,5,7,
2023/5/16,7,4,
2023/5/17,5,1,
2023/5/18,4,3,
2023/5/19,12,,
2023/5/20,11,,
2023/5/21,14,,
2023/5/22,16,5,
2023/5/23,19,,
2023/5/24,7,,
2023/5/25,7,,
2023/4/1,8,4,
2023/4/2,6,2,
2023/4/3,6,,
2023/4/7,23,4,
2023/4/8,19,5,
2023/4/9,11,4,
2023/4/10,12,12,
2023/4/11,27,8,
2023/4/12,14,8,
2023/4/13,11,5,
2023/4/14,7,5,
2023/4/15,7,4,
2023/4/16,8,4,
2023/4/17,8,7,
2023/4/18,15,5,
2023/4/19,13,7,
2023/4/20,11,8,
2023/4/21,17,5,
2023/4/22,17,3,
2023/4/23,15,7,
2023/4/24,10,5,
2023/4/25,11,6,
2023/4/26,9,4,
2023/4/27,15,8,
2023/4/28,20,4,
2023/4/29,11,4,
2023/4/30,9,4,
2023/1/2,26,13,
2023/1/3,27,12,
2023/1/4,18,14,
2023/1/5,27,12,
2023/1/6,14,12,
2023/1/7,18,12,
2023/1/8,21,16,
2023/1/9,12,7,
2023/1/10,7,22,
2023/1/11,32,19,
2023/1/12,32,19,
2023/1/13,35,16,
2023/1/14,19,,
2023/1/16,7,11,
2023/1/17,11,14,
2023/1/18,14,10,
2023/1/19,10,11,
2023/1/20,14,6,
2023/1/21,6,8,
2023/1/22,9,17,
2023/1/23,15,15,
2023/1/24,11,11,
2023/1/25,15,9,
2023/1/26,20,10,
2023/1/27,13,10,
2023/1/28,22,7,
2023/1/29,18,13,
2023/1/30,19,13,
2023/1/31,14,19,
2023/2/1,21,10,
2023/2/2,5,13,
2023/2/3,13,4,
2023/2/4,7,6,
2023/2/5,8,13,
2023/2/6,22,16,
2023/2/7,28,11,
2023/2/8,23,14,
2023/2/9,24,20,
2023/2/10,36,21,
2023/2/11,35,15,
2023/2/12,19,15,
2023/2/13,18,16,
2023/2/14,27,15,
2023/2/15,35,20,
2023/2/16,42,26,
2023/2/17,39,17,
2023/2/18,24,9,
2023/2/19,18,13,
2023/2/20,18,14,
2023/2/21,19,11,
2023/2/22,19,17,
2023/2/23,35,15,
2023/2/24,40,6,
2023/2/25,11,3,
2023/2/26,8,5,
2023/2/27,11,7,
2023/2/28,20,11,
2023/3/1,26,11,
2023/3/2,24,13,
2023/3/3,30,9,
2023/3/4,23,5,
2023/3/5,22,5,
2023/3/6,19,9,
2023/3/7,25,11,
2023/3/8,26,11,
2023/3/9,15,12,
2023/3/10,18,4,
2023/3/11,8,4,
2023/3/12,10,15,
2023/3/13,24,10,
2023/3/14,15,4,
2023/3/15,7,7,
2023/3/16,11,9,
2023/3/17,20,7,
2023/3/18,22,9,
2023/3/19,26,14,
2023/3/20,28,10,
2023/3/21,19,11,
