date,pm25,pm10,no2,so2,co
2023/5/1,55,12,8,1,
2023/5/2,43,17,9,,
2023/5/3,53,19,8,,
2023/5/4,56,20,8,,
2023/5/5,55,19,7,,
2023/5/6,56,14,3,,
2023/5/7,52,21,4,,
2023/5/8,68,17,5,,
2023/5/9,54,17,6,,
2023/5/10,51,14,5,,
2023/5/11,47,5,3,,
2023/5/12,16,11,2,,
2023/5/13,45,11,3,,
2023/5/14,37,10,5,,
2023/5/15,31,10,8,,
2023/5/16,33,5,3,,
2023/5/17,13,9,1,,
2023/5/18,29,17,4,,
2023/5/19,53,15,3,,
2023/5/20,53,19,4,,
2023/5/21,60,22,6,,
2023/5/22,62,23,9,,
2023/5/23,61,14,7,,
2023/5/24,50,13,6,,
2023/5/25,46,,,,
2023/4/1,20,4,5,,
2023/4/2,14,5,4,,
2023/4/3,7,,,,
2023/4/7,73,21,5,,
2023/4/8,67,12,4,,
2023/4/9,40,13,6,,
2023/4/10,41,23,13,,
2023/4/11,54,15,10,,
2023/4/12,29,7,9,,
2023/4/13,24,4,5,,
2023/4/14,15,5,7,,
2023/4/15,15,7,6,,
2023/4/16,22,7,4,,
2023/4/17,30,14,9,,
2023/4/18,33,12,6,,
2023/4/19,42,12,7,,
2023/4/20,37,19,11,,
2023/4/21,58,20,7,,
2023/4/22,61,16,5,,
2023/4/23,55,12,8,,
2023/4/24,38,12,7,,
2023/4/25,36,11,9,,
2023/4/26,29,17,6,,
2023/4/27,51,23,11,,
2023/4/28,64,13,5,,
2023/4/29,46,12,5,,
2023/4/30,44,15,5,,
2023/1/2,77,23,12,1,
2023/1/3,68,24,10,1,
2023/1/4,70,24,12,,
2023/1/5,63,15,10,,
2023/1/6,44,22,10,,
2023/1/7,61,17,11,,
2023/1/8,53,10,16,,
2023/1/9,29,4,6,,
2023/1/10,11,29,22,1,
2023/1/11,56,25,17,1,
2023/1/12,59,35,16,1,
2023/1/13,77,24,13,,
2023/1/14,56,,,,
2023/1/16,36,13,12,,
2023/1/17,46,17,15,,
2023/1/18,56,10,10,,
2023/1/19,28,14,10,,
2023/1/20,36,6,5,,
2023/1/21,19,10,7,,
2023/1/22,49,18,16,,
2023/1/23,58,14,15,,
2023/1/24,40,17,12,,
2023/1/25,58,19,9,,
2023/1/26,59,16,9,,
2023/1/27,55,22,9,,
2023/1/28,71,20,7,,
2023/1/29,68,21,12,,
2023/1/30,59,20,14,,
2023/1/31,42,17,15,,
2023/2/1,50,6,11,,
2023/2/2,22,12,10,,
2023/2/3,38,2,2,,
2023/2/5,33,24,15,,
2023/2/6,61,26,17,,
2023/2/7,65,18,13,,
2023/2/8,48,27,18,,
2023/2/9,60,34,21,,
2023/2/10,70,30,19,,
2023/2/11,74,19,16,,
2023/2/12,54,24,17,,
2023/2/13,56,27,18,,
2023/2/14,66,32,16,,
2023/2/15,81,41,19,1,
2023/2/16,87,43,25,1,
2023/2/17,75,23,17,,
2023/2/18,55,17,8,,
2023/2/19,64,19,14,,
2023/2/20,28,21,16,,
2023/2/21,42,20,18,,
2023/2/22,37,36,20,,
2023/2/23,76,32,15,,
2023/2/24,80,6,6,,
2023/2/25,48,4,4,,
2023/2/26,16,9,9,,
2023/2/27,16,16,8,,
2023/2/28,43,21,13,1,
2023/3/1,57,20,13,1,
2023/3/2,52,26,14,,
2023/3/3,62,19,9,,
2023/3/4,50,18,8,,
2023/3/5,55,17,6,,
2023/3/6,44,19,10,,
2023/3/7,59,22,14,,
2023/3/8,53,12,14,,
2023/3/9,34,15,17,,
2023/3/10,28,5,6,,
2023/3/11,40,8,8,,
2023/3/12,20,27,18,,
2023/3/13,49,15,12,,
2023/3/14,34,7,6,,
2023/3/15,33,14,13,,
2023/3/16,30,25,12,,
2023/3/17,44,24,13,,
2023/3/18,60,31,15,,
2023/3/19,76,41,21,1,
2023/3/20,76,23,17,,
2023/3/21,40,29,14,,
2023/3/22,41,36,18,,
2023/3/23,64,35,15,,
2023/3/24,68,5,6,,
2023/3/25,18,8,6,,
2023/3/26,21,4,5,,
2023/3/27,16,4,4,,
2023/3/28,11,23,16,,
2023/3/29,37,28,16,,
2023/3/30,53,11,8,,
2023/3/31,23,6,6,,
2022/10/1,26,6,4,,
2022/10/2,13,6,6,,
2022/10/3,15,14,10,,
2022/10/4,29,16,9,,
2022/10/5,30,18,12,,
2022/10/6,38,20,9,,
2022/10/7,42,18,7,,
2022/10/8,48,11,5,,
2022/10/9,26,17,9,,
2022/10/10,37,21,8,,
2022/10/11,49,23,8,,
2022/10/12,56,28,9,,
2022/10/13,64,33,10,1,
2022/10/14,80,36,9,,
2022/10/15,91,29,7,,
2022/10/16,72,31,10,,
2022/10/17,69,31,11,,
2022/10/18,71,21,7,,
2022/10/19,46,15,6,,
2022/10/20,20,27,9,,
2022/10/21,64,22,9,,
2022/10/22,60,9,6,,
2022/10/23,27,19,9,,
2022/10/24,45,10,11,,
2022/10/25,17,13,6,,
2022/10/26,29,18,9,,
2022/10/27,41,17,10,,
2022/10/28,38,16,7,,
2022/10/29,42,21,7,,
2022/10/30,52,21,6,,
2022/10/31,50,11,6,,
2022/11/1,36,17,9,,
2022/11/2,44,13,7,,
2022/11/3,31,14,8,,
2022/11/4,57,2,5,,
2022/11/5,8,9,9,,
2022/11/6,27,13,12,,
2022/11/7,34,19,10,1,
2022/11/8,50,24,9,1,
2022/11/9,63,22,11,1,
2022/11/10,67,27,11,1,
2022/11/11,72,19,10,1,
2022/11/12,55,18,10,1,
2022/11/13,53,31,12,1,
2022/11/14,81,27,9,,
2022/11/15,78,20,9,,
2022/11/16,60,23,10,,
2022/11/17,64,19,8,,
2022/11/18,56,11,8,,
2022/11/19,42,12,6,,
2022/11/20,42,19,10,1,
2022/11/21,51,14,11,,
2022/11/22,49,15,11,1,
2022/11/23,42,22,13,1,
2022/11/24,52,24,13,,
2022/11/25,59,26,11,,
2022/11/26,70,21,9,,
2022/11/27,57,25,12,,
2022/11/28,73,25,6,1,
2022/11/29,76,14,11,,
2022/11/30,45,10,13,,
2022/12/1,32,21,11,,
2022/12/2,69,17,8,,
2022/12/3,59,13,7,,
2022/12/4,47,13,7,,
2022/12/5,44,10,11,,
2022/12/6,30,20,13,,
2022/12/7,55,17,7,,
2022/12/8,56,19,11,,
2022/12/9,62,15,8,,
2022/12/10,47,3,3,,
2022/12/11,14,13,14,,
2022/12/12,33,28,17,,
2022/12/13,62,29,16,,
2022/12/14,73,43,17,,
2022/12/15,102,36,14,,
2022/12/16,105,24,12,,
2022/12/17,78,18,12,,
2022/12/18,62,23,12,,
2022/12/19,72,20,11,,
2022/12/20,68,25,11,,
2022/12/21,75,32,11,1,
2022/12/22,91,27,13,1,
2022/12/23,76,24,10,,
2022/12/24,76,24,9,,
2022/12/25,72,24,9,,
2022/12/26,66,14,12,,
2022/12/27,36,20,15,,
2022/12/28,50,31,15,1,
2022/12/29,77,30,16,1,
2022/12/30,70,29,13,1,
2022/12/31,82,45,9,,
2023/1/1,117,28,12,1,
2022/7/12,5,10,7,,
2022/7/13,12,19,8,,
2022/7/14,16,13,11,,
2022/7/15,24,11,7,1,
2022/7/16,29,9,2,,
2022/7/17,15,11,3,,
2022/7/18,17,17,6,,
2022/7/19,21,18,7,1,
2022/7/20,20,18,9,1,
2022/7/21,18,19,9,1,
2022/7/22,30,15,7,,
2022/7/23,31,9,,,
2022/7/24,22,15,,,
2022/7/25,36,8,,,
